Red Signal, IR Signal
126415.000000, 156857.000000
126409.000000, 156858.000000
126448.000000, 156946.000000
126509.000000, 157081.000000
126544.000000, 157185.000000
126577.000000, 157248.000000
126627.000000, 157358.000000
126667.000000, 157470.000000
126724.000000, 157599.000000
126787.000000, 157747.000000
126843.000000, 157870.000000
126882.000000, 157978.000000
126927.000000, 158083.000000
126971.000000, 158202.000000
127013.000000, 158297.000000
126956.000000, 158155.000000
126812.000000, 157773.000000
126675.000000, 157380.000000
126565.000000, 157095.000000
126492.000000, 156930.000000
126441.000000, 156798.000000
126420.000000, 156730.000000
126409.000000, 156736.000000
126407.000000, 156741.000000
126402.000000, 156733.000000
126388.000000, 156710.000000
126400.000000, 156722.000000
126426.000000, 156779.000000
126497.000000, 156954.000000
126578.000000, 157151.000000
126632.000000, 157273.000000
126695.000000, 157424.000000
126760.000000, 157562.000000
126815.000000, 157711.000000
126836.000000, 157738.000000
126706.000000, 157401.000000
126560.000000, 156961.000000
126438.000000, 156633.000000
126396.000000, 156504.000000
126370.000000, 156446.000000
126380.000000, 156430.000000
126406.000000, 156511.000000
126450.000000, 156592.000000
126458.000000, 156592.000000
126442.000000, 156554.000000
126439.000000, 156540.000000
126465.000000, 156562.000000
126494.000000, 156598.000000
126541.000000, 156684.000000
126564.000000, 156771.000000
126597.000000, 156864.000000
126635.000000, 156937.000000
126663.000000, 157024.000000
126644.000000, 156976.000000
126520.000000, 156638.000000
126341.000000, 156178.000000
126229.000000, 155846.000000
126173.000000, 155690.000000
126967.000000, 156609.000000
126976.000000, 156635.000000
127013.000000, 156707.000000
127069.000000, 156820.000000
127125.000000, 156958.000000
127165.000000, 157125.000000
127210.000000, 157269.000000
127242.000000, 157383.000000
127187.000000, 157235.000000
127003.000000, 156754.000000
126809.000000, 156261.000000
126722.000000, 156013.000000
126658.000000, 155864.000000
126627.000000, 155772.000000
126641.000000, 155806.000000
126718.000000, 156029.000000
126866.000000, 156370.000000
126995.000000, 156646.000000
127059.000000, 156780.000000
127105.000000, 156889.000000
127169.000000, 157058.000000
127223.000000, 157227.000000
127276.000000, 157375.000000
127312.000000, 157499.000000
127341.000000, 157574.000000
127368.000000, 157669.000000
127425.000000, 157785.000000
127407.000000, 157750.000000
127265.000000, 157379.000000
127106.000000, 156960.000000
127005.000000, 156686.000000
126970.000000, 156588.000000
126987.000000, 156649.000000
126998.000000, 156670.000000
126985.000000, 156634.000000
126962.000000, 156608.000000
126961.000000, 156624.000000
126974.000000, 156704.000000
127029.000000, 156835.000000
127047.000000, 156895.000000
127040.000000, 156910.000000
127055.000000, 156955.000000
127068.000000, 157015.000000
127094.000000, 157096.000000
127002.000000, 156850.000000
126799.000000, 156265.000000
126618.000000, 155773.000000
126552.000000, 155586.000000
126552.000000, 155600.000000
126573.000000, 155656.000000
126633.000000, 155788.000000
126680.000000, 155909.000000
126714.000000, 156019.000000
126761.000000, 156158.000000
126823.000000, 156305.000000
126890.000000, 156423.000000
126950.000000, 156556.000000
127006.000000, 156705.000000
127075.000000, 156860.000000
127127.000000, 157034.000000
127161.000000, 157131.000000
127136.000000, 157065.000000
126962.000000, 156580.000000
126751.000000, 156019.000000
126613.000000, 155630.000000
126535.000000, 155416.000000
126492.000000, 155302.000000
126500.000000, 155305.000000
126535.000000, 155397.000000
126568.000000, 155482.000000
126617.000000, 155589.000000
126676.000000, 155716.000000
126713.000000, 155821.000000
126722.000000, 155872.000000
126741.000000, 155925.000000
126771.000000, 156018.000000
126822.000000, 156131.000000
126881.000000, 156293.000000
126927.000000, 156443.000000
126970.000000, 156524.000000
126873.000000, 156232.000000
126669.000000, 155656.000000
126502.000000, 155233.000000
126451.000000, 155074.000000
126461.000000, 155076.000000
126513.000000, 155208.000000
126618.000000, 155450.000000
126709.000000, 155668.000000
126770.000000, 155820.000000
126806.000000, 155896.000000
126838.000000, 155961.000000
126863.000000, 156015.000000
126884.000000, 156077.000000
126933.000000, 156187.000000
126977.000000, 156301.000000
127003.000000, 156371.000000
127024.000000, 156401.000000
127038.000000, 156450.000000
127056.000000, 156503.000000
126972.000000, 156289.000000
126783.000000, 155378.000000
126715.000000, 155163.000000
126730.000000, 155181.000000
126749.000000, 155213.000000
126814.000000, 155371.000000
126898.000000, 155593.000000
126962.000000, 155749.000000
127020.000000, 155878.000000
127061.000000, 155981.000000
127084.000000, 156082.000000
127142.000000, 156249.000000
127210.000000, 156443.000000
127278.000000, 156635.000000
127359.000000, 156842.000000
127444.000000, 157061.000000
127518.000000, 157273.000000
127562.000000, 157415.000000
127613.000000, 157553.000000
127652.000000, 157662.000000
127521.000000, 157319.000000
127243.000000, 156579.000000
127016.000000, 155953.000000
126911.000000, 155666.000000
126882.000000, 155574.000000
126881.000000, 155590.000000
126929.000000, 155705.000000
126995.000000, 155900.000000
127049.000000, 156031.000000
127068.000000, 156096.000000
127103.000000, 156176.000000
127139.000000, 156291.000000
127196.000000, 156423.000000
127365.000000, 156866.000000
127410.000000, 157006.000000
127454.000000, 157136.000000
127484.000000, 157245.000000
127535.000000, 157370.000000
127568.000000, 157497.000000
127525.000000, 157377.000000
127279.000000, 156735.000000
127011.000000, 155999.000000
126818.000000, 155502.000000
126737.000000, 155281.000000
126699.000000, 155198.000000
126716.000000, 155248.000000
126774.000000, 155406.000000
126808.000000, 155514.000000
126830.000000, 155554.000000
126855.000000, 155607.000000
126889.000000, 155705.000000
126912.000000, 155807.000000
126969.000000, 155931.000000
127028.000000, 156094.000000
127079.000000, 156250.000000
127136.000000, 156418.000000
127191.000000, 156562.000000
127233.000000, 156712.000000
127265.000000, 156781.000000
127110.000000, 156367.000000
126856.000000, 155646.000000
126645.000000, 155102.000000
126557.000000, 154871.000000
126563.000000, 154851.000000
126602.000000, 154957.000000
126664.000000, 155118.000000
126712.000000, 155245.000000
126724.000000, 155288.000000
126741.000000, 155316.000000
126773.000000, 155376.000000
126795.000000, 155461.000000
126832.000000, 155571.000000
126894.000000, 155728.000000
126949.000000, 155868.000000
126996.000000, 156000.000000
127036.000000, 156126.000000
127098.000000, 156275.000000
127149.000000, 156403.000000
127060.000000, 156177.000000
126787.000000, 155436.000000
126519.000000, 154712.000000
126394.000000, 154342.000000
126369.000000, 154275.000000
126384.000000, 154306.000000
126436.000000, 154470.000000
126526.000000, 154721.000000
126602.000000, 154903.000000
126650.000000, 155013.000000
126710.000000, 155138.000000
126782.000000, 155312.000000
